"filename", "language", "TypeScript", "JavaScript", "PHP", "HTML", "CSS", "comment", "blank", "total"
"/Users/riadmammadov/Documents/Individual Project/Code/src/app.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 18, 60
"/Users/riadmammadov/Documents/Individual Project/Code/src/controllers/auth.controller.ts", "TypeScript", 163, 0, 0, 0, 0, 6, 33, 202
"/Users/riadmammadov/Documents/Individual Project/Code/src/controllers/home.controller.ts", "TypeScript", 16, 0, 0, 0, 0, 5, 9, 30
"/Users/riadmammadov/Documents/Individual Project/Code/src/controllers/protected.controller.ts", "TypeScript", 20, 0, 0, 0, 0, 5, 11, 36
"/Users/riadmammadov/Documents/Individual Project/Code/src/middleware/auth.middleware.ts", "TypeScript", 62, 0, 0, 0, 0, 5, 13, 80
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/additem.php", "PHP", 0, 0, 44, 0, 0, 9, 17, 70
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/applyDiscount.php", "PHP", 0, 0, 41, 0, 0, 4, 9, 54
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/cancelorder.php", "PHP", 0, 0, 22, 0, 0, 3, 8, 33
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/completeorder.php", "PHP", 0, 0, 29, 0, 0, 4, 10, 43
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/dbconnection.php", "PHP", 0, 0, 10, 0, 0, 1, 6, 17
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/deleteDiscount.php", "PHP", 0, 0, 21, 0, 0, 0, 7, 28
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/deleteOrderHistory.php", "PHP", 0, 0, 28, 0, 0, 5, 9, 42
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/deleteReview.php", "PHP", 0, 0, 15, 0, 0, 3, 5, 23
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/backend/editItem.php", "PHP", 0, 0, 21, 0, 0, 2, 10, 33
